"volunteer" "activity" "accX_mean" "accX_sd" "accY_mean" "accY_sd" "accZ_mean" "accZ_sd" "gyroX_mean" "gyroX_sd" "gyroY_mean" "gyroY_sd" "gyroZ_mean" "gyroZ_sd" "totalX_mean" "totalX_sd" "totalY_mean" "totalY_sd" "totalZ_mean" "totalZ_sd"
"1" "LAYING" -0.00279028817822604 0.0108373811952982 -0.00110978790399255 0.00936510569401628 0.000263514770928297 0.0108975940302863 0.0140200485265517 0.0283147729982086 -0.00783471119965514 0.0271178183896656 0.0208375418700712 0.0162391889178694 0.13425524304551 0.00754246758058864 0.605831501027127 0.00763716498764313 0.460239002322275 0.0086068889260566
"1" "SITTING" -0.000786124419425104 0.00590000438345743 0.00448076847295845 0.010716975117722 0.00133045175048368 0.0102137306312796 -0.0145531719321901 0.0118701825877571 0.00234685362953533 0.0197309127656106 -0.00320873917779204 0.0160655752768659 0.945805851332211 0.00445592970758537 0.124138299060705 0.00646676326489531 0.122982026649218 0.00738573257759783
"1" "STANDING" 0.000660146914271843 0.00504198101433126 0.000936313527999349 0.00920686006813626 0.00097168419536442 0.00920954485505047 0.00157706251339747 0.035508498264068 0.00348033426320838 0.0216054982141611 -0.00318398222562334 0.0152282547721254 0.99913935980826 0.00441676183458832 -0.172970377015155 0.00790632271075976 -0.0587886025838248 0.00742824378069169
"1" "WALKING" -0.000759999458427276 0.229295558443655 -0.00126582387147557 0.16997744097179 -0.000555337993137514 0.129855098203817 -0.00316785591668352 0.449940089084314 0.00243340023985839 0.524051913023903 -0.00368767374629994 0.322918697371634 0.98987764049238 0.228987952940558 -0.193762900469408 0.169267804586706 -0.0917778415851864 0.128364007260795
"1" "WALKING_DOWNSTAIRS" 0.00206736407858377 0.364126852253354 0.00180326486486689 0.179965421014617 0.00254745603617088 0.151448152401763 -0.0800129384389833 0.491061117492304 0.0138953844778407 0.508714915447822 -0.0055410489058483 0.366176142519853 0.987620813376784 0.363507916809969 -0.166081289486103 0.179030846324483 -0.0875884922240781 0.149771949975465
"1" "WALKING_UPSTAIRS" -0.00482382629649596 0.246038968765658 -0.00583795387628863 0.171416771966313 -0.00406202525666361 0.157839619775599 0.0423632467350064 0.386839931634225 -0.00750980593400457 0.565568107955245 -0.017185889563926 0.338843587851213 0.944220980301081 0.245257326258834 -0.266021279278001 0.169476534429537 -0.150554102321681 0.153608242338314
"2" "LAYING" -0.00257553991689178 0.0117273254844089 -0.000437583784862928 0.00924597356189191 0.00163413255544635 0.0102788309673414 0.0128784811283667 0.0226539638368825 -0.0119126850245886 0.0239439907126543 0.0225841733794198 0.0144970745072292 0.0322983576804704 0.00763465398884363 0.640398125623414 0.00900945363698269 0.607984779463149 0.00876443179692253
"2" "SITTING" -0.00104051006471217 0.00529376874001331 0.00249709124141949 0.00944412664634799 0.000624476996464659 0.0107040882210381 -0.0111443868689896 0.0121469659276807 0.00170290094176644 0.0224277158542929 -0.008419490584136 0.0156560796793205 0.963563994034666 0.00429406995159181 0.130395951085275 0.00666427265765278 0.163551589431394 0.0080119464903232
"2" "STANDING" 0.000382269293172517 0.00584098125166695 0.00035893106834859 0.011286834940402 0.000937888568770004 0.0113152294787843 0.0041738842191211 0.0435834481202043 0.00229509071666435 0.0304797163867588 -0.00330881013016065 0.0198048533789518 0.998658644827313 0.00545916858367177 -0.192135107973267 0.00997375724890514 -0.00918402402334171 0.00952279778303116
"2" "WALKING" -0.000294851793909099 0.218190484979527 -0.00102794950027839 0.163750171179574 -0.000388257832234887 0.13620534141599 -0.0202300367243642 0.448711723826272 0.00736351238470867 0.484553808438497 0.00499352260363556 0.322699176673605 0.995711510383226 0.217820191760509 -0.195530806248706 0.163014595746478 -0.0270425915047851 0.135236214264904
